schuljahresbeginn,schulleiter,schuelerSchuljahresbeginn,zugaenge,abgaenge,schuelerSchuljahresende,schuelerMaennlich,schuelerWeiblich,klassen,kommentar
1970,Georg Winklhofer,,,,158,96,62,,Noch in der Gluckstraße
1971,Georg Winklhofer,,,,420,232,177,,
1972,Georg Winklhofer,,,,892,502,390,,Im eigenen Gebäude
1973,Georg Winklhofer,,,,1158,624,519,,
1974,Georg Winklhofer,,,,1265,642,569,,
1975,Georg Winklhofer,1380,40,71,1349,694,655,41,
1976,Georg Winklhofer,,,,,,,,
1977,Günter Odersky,1605,24,36,1593,824,769,40,
1978,Günter Odersky,1697,24,54,1667,846,821,42,
1979,Günter Odersky,1769,18,45,1742,890,852,43,Zweitgrößtes Gymnasium Bayerns
1980,Günter Odersky,1759,16,53,1722,876,846,45,Eröffnung Realschule Vaterstetten
1981,Günter Odersky,1688,26,61,1653,838,815,43,
1982,Günter Odersky,1550,12,39,1523,791,732,41,
1983,Günter Odersky,1456,10,32,1434,738,696,37,
1984,Günter Odersky,1359,8,12,1355,715,640,35,
1985,Günter Odersky,1269,5,25,1249,682,567,32,
1986,Günter Odersky,1167,8,22,1153,626,527,28,
1987,Günter Odersky,1113,10,36,1087,605,482,30,
1988,Günter Odersky,1038,9,24,1023,571,452,29,
1989,Günter Odersky,989,17,13,993,549,444,28,
1990,Günter Odersky,946,7,25,928,494,434,28,
1991,Helmut Baier,958,12,23,947,494,453,28,
1992,Helmut Baier,962,11,16,957,482,475,28,
1993,Helmut Baier,968,9,19,958,482,476,29,
1994,Helmut Baier,956,4,22,938,469,469,28,
1995,Helmut Baier,944,13,27,930,482,448,26,
1996,Helmut Baier,887,13,10,890,461,429,27,
1997,Helmut Baier,923,9,23,909,470,439,27,
1998,Helmut Baier,984,,,977,508,469,29,
1999,Helmut Baier,1003,,,989,526,463,29,
2000,Helmut Baier,1010,,,1001,527,474,30,
2001,Helmut Baier,1022,,,1015,544,471,30,
2002,Dr. Peer Frieß,,,,1059,561,498,31,
2003,Dr. Peer Frieß,,,,1112,573,539,33,
2004,Dr. Peer Frieß,,,,1225,634,591,39,
2005,Dr. Peer Frieß,,,,1295,646,649,39,
2006,Dr. Peer Frieß,,,,1457,716,741,44,
2007,Dr. Peer Frieß,,,,1542,753,789,49,
2008,Rüdiger Modell,,,,1554,750,804,48,Eröffnung Gymnasium Kirchseeon
2009,Rüdiger Modell,1639,,,,800,839,45,
2010,Rüdiger Modell,1689,,,,830,859,46,
2011,Rüdiger Modell,,,,1619,794,825,45,Erstes Jahr ohne K13 (G8)
2012,Rüdiger Modell,,,,1614,770,844,46,
2013,Rüdiger Modell,,,,1590,780,810,45,
2014,Rüdiger Modell,1565,,,,754,811,46,
2015,Rüdiger Modell,1533,,,,764,769,44,
2016,Rüdiger Modell,1537,,,,747,790,42,
2017,Rüdiger Modell,,,,1526,720,806,42,
2018,Rüdiger Modell,1500,,,,734,766,42,
2019,Rüdiger Modell,1550,,,,769,781,,
2020,Rüdiger Modell,1562,,,,767,795,44,
2021,Rüdiger Modell,1572,,,,784,788,44,
2022,Rüdiger Modell,,,,,,,,
2023,Rüdiger Modell,,,,,,,,
2024,Sabine Schweiger,,,,,,,,
2025,,,,,,,,,Erstes Jahr mit Q13 (G9)
