partei,listenNr,name
CSU,1,Leonhard Spitzauer
CSU,2,Florian Pöhlmann
CSU,3,Christine Mitterer
CSU,4,Dr. Michael Niebler
CSU,5,Benedikt Weber
CSU,6,Theresa Fauth
CSU,7,Stefan Huber
CSU,8,Philipp Trepte
CSU,9,Annabell Wegener
CSU,10,Michelino Capezzuto-Zehetmeier
CSU,11,Maria Weindl
CSU,12,Josef Schmid
CSU,13,Albert Wirth
CSU,14,Franziska Decker
CSU,15,Manfred Vodermair
CSU,16,Korbinian Ederer
CSU,17,Hannelore Vodermair
CSU,18,Theodor Bader
CSU,19,Ilona Dreier
CSU,20,Florian Noack
CSU,21,Maria Fuchs
CSU,22,Carl Faltermeier
CSU,23,Johann Huber
CSU,24,Wolfgang Estermann
CSU,25,Martina Thalmeier
CSU,26,Karoline Kulzer
CSU,27,Jutta Löbert
CSU,28,Maximilian Mack
CSU,29,Veronika Reinefeld
CSU,30,Michael Kundler
GRÜNE,1,David Göhler
GRÜNE,2,Katrin Pumm
GRÜNE,3,Dr. Elisabeth Mundelius
GRÜNE,4,Axel Weingärtner
GRÜNE,5,Ulrike Pfeiffer
GRÜNE,6,Stefan Ruoff
GRÜNE,7,Monika Kalberlah
GRÜNE,8,Thomas Mair
GRÜNE,9,Marina Ruoff
GRÜNE,10,Felix Edelmann
GRÜNE,11,Christina Niedermayer
GRÜNE,12,Gerd Baldermann
GRÜNE,13,Emma Müller
GRÜNE,14,Dr. Sebastian Rehfeldt
GRÜNE,15,Doris Häuser
GRÜNE,16,Günter Mader
GRÜNE,17,Ana Müller
GRÜNE,18,Dominik Hübner
GRÜNE,19,Julia Schölzel
GRÜNE,20,Florian Blacha
GRÜNE,21,Stephanie Rihm-Stadler
GRÜNE,22,Günter Glier
GRÜNE,23,Sarah Onken
GRÜNE,24,Lothar Pickelmann
GRÜNE,25,Friederike Michael
GRÜNE,26,Gustav Lorenz
GRÜNE,27,Maria Herber
GRÜNE,28,Georg Graupner
GRÜNE,29,Melanie Kirchlechner
GRÜNE,30,Johannes von der Forst
FW,1,Roland Meier
FW,2,Dr. Bianca Dusi-Färber
FW,3,Wolfgang Schermann
FW,4,Achim Burgstaller
FW,5,Herbert Uhl
FW,6,Kerstin Rudat
FW,7,Sonja Kiran
FW,8,Tamara Stein
FW,9,Ralf Steinbacher
FW,10,Anna Russo-Baumann
FW,11,Thomas Feckl
FW,12,Judith Heymann
FW,13,Alfred Kübler
FW,14,Eleonore Wagner
FW,15,Boris Fuhrmann
FW,16,Sonja Danner
FW,17,Dr. Edmund Weigert
FW,18,Erika Kleiner
FW,19,Peter Meier
FW,20,Alexandra Becker
FW,21,Udo Ricke
FW,22,Anna Link
FW,23,Werner Kümmel
FW,24,Regina Meier
FW,25,Peter Reitsberger
FW,26,Diana Stein
FW,27,Daniel Mini
FW,28,Simone Hoffmann
FW,29,Gunnar Blecher
FW,30,Klaus Färber
AfD,1,Brigitte Fischbacher
AfD,2,Heidelinde Pelz
AfD,3,Manfred Schmidt
AfD,4,Michael Delaney
AfD,5,Ute Schmidt
AfD,6,Marion Madl
AfD,7,Helga Steinberger
AfD,8,Herbert Pachner
AfD,9,Oskar Troll
AfD,10,Renate Pachner
AfD,11,Leonie Senckpiehl
AfD,12,Stilla Gerer
AfD,13,Gudrun Kortas
AfD,14,Jan Piskora
AfD,15,Irene Lorenz
AfD,16,Jolanta Szkaranda
AfD,17,Frieda Erlbeck
AfD,18,Dorothee Strohm
AfD,19,Erna Krippner
AfD,20,Conchita Schuster
AfD,21,Robert Steinberger
AfD,22,Emma Eglseer
AfD,23,Gerhard Koppelmann
SPD,1,Maria Wirnitzer
SPD,2,Josef Mittermeier
SPD,3,Cordula Koch
SPD,4,Raphael Melcher
SPD,5,Kristina Kleinmagd-Kalteis
SPD,6,Günter Lenz
SPD,7,Eva Hemauer
SPD,8,Andreas Zink
SPD,9,Annika Deutschmann
SPD,10,Irfan Tariq
SPD,11,Elke Hummel
SPD,12,Jens Möllenhoff
SPD,13,Carina Mooslechner
SPD,14,Alexander Lungmus
SPD,15,Irina Mangstl
SPD,16,Thomas Matzl
SPD,17,Silvia Mende
SPD,18,Thomas Dingler
SPD,19,Marie Bömerl
SPD,20,Herbert Mangstl
SPD,21,Erika Groll
SPD,22,Ulrich Förster
SPD,23,Claudia Doyle
SPD,24,Bahram Edrissi
SPD,25,Wolfgang Wilder
SPD,26,Ismael-Isaac Boiro
SPD,27,Joachim Neunert
SPD,28,Dr. Bernd Gehrke
SPD,29,Helmuth Dvořák
SPD,30,Angela Neunert
FDP,1,Klaus Willenberg
FDP,2,Petra Rawe
FDP,3,Thomas Miller
FDP,4,Renate Will
FDP,5,Martin Hagen
FDP,6,Brigitte Bencker
FDP,7,Andre jun. Schreiber
FDP,8,Daniela Peine
FDP,9,Dr. Hauke Scheffler
FDP,10,Ruth Thyssen
FDP,11,Christian Hirsch
FDP,12,Alexandra Florek
FDP,13,Michael Thyssen
FDP,14,Thomas Fickenwirth
FDP,15,Christian Domes
FDP,16,Marco Peine
FDP,17,Oliver Schmidt
FDP,18,Andrea Schreiber
FDP,19,Marvin Schittko
FDP,20,Jürgen Böttcher
FDP,21,Jan Förnges
FDP,22,Lena Markmiller
FDP,23,Alexander Camek
FDP,24,Cornelia Harbauer
FDP,25,Andreas Raab
FDP,26,Viktoria Paluel-Marmont
FDP,27,Gerlinde Schöttler-Willenberg
FDP,28,Barbara Wagner
FDP,29,André sen. Schreiber
FDP,30,Alexander Edelmann
